,Imgdata,Price,Rating,Title
0,"{'src': '../media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg', 'alt': 'In Her Wake'}",12.84,One,In Her Wake
1,"{'src': '../media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg', 'alt': 'How Music Works'}",37.32,Two,How Music Works
2,"{'src': '../media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg', 'alt': 'Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More'}",30.52,Three,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More"
3,"{'src': '../media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg', 'alt': 'Chase Me (Paris Nights #2)'}",25.27,Five,Chase Me (Paris Nights #2)
4,"{'src': '../media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg', 'alt': 'Black Dust'}",34.53,Five,Black Dust
5,"{'src': '../media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg', 'alt': 'Birdsong: A Story in Pictures'}",54.64,Three,Birdsong: A Story in Pictures
6,"{'src': '../media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg', 'alt': ""America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana""}",22.50,Three,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana
7,"{'src': '../media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg', 'alt': 'Aladdin and His Wonderful Lamp'}",53.13,Three,Aladdin and His Wonderful Lamp
8,"{'src': '../media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg', 'alt': 'Worlds Elsewhere: Journeys Around Shakespeare’s Globe'}",40.30,Five,Worlds Elsewhere: Journeys Around Shakespeare’s Globe
9,"{'src': '../media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg', 'alt': 'Wall and Piece'}",44.18,Four,Wall and Piece
10,"{'src': '../media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg', 'alt': 'The Four Agreements: A Practical Guide to Personal Freedom'}",17.66,Five,The Four Agreements: A Practical Guide to Personal Freedom
11,"{'src': '../media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg', 'alt': 'The Five Love Languages: How to Express Heartfelt Commitment to Your Mate'}",31.05,Three,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
12,"{'src': '../media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg', 'alt': 'The Elephant Tree'}",23.82,Five,The Elephant Tree
13,"{'src': '../media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg', 'alt': 'The Bear and the Piano'}",36.89,One,The Bear and the Piano
